neighborhood,total_segments,total_length_ft,high_risk_segments,high_risk_length_ft,avg_risk_score,max_risk_score,avg_canopy_per_ft,total_miles,high_risk_miles,pct_high_risk
First Hill,293,17662.36303676157,249,15419.357472023612,0.21031353676406797,0.33713875787223174,51.18900445747773,3.345144514538176,2.9203328545499265,85.0
Yesler Terrace,233,15872.540354661021,189,13118.7861260399,0.20614881894283352,0.3411717566664151,38.53181449341416,3.006162945958527,2.484618584477254,81.1
Laurelhurst,214,15710.962387288422,124,10319.355561559158,0.17721450643311382,0.3327538424584541,45.20131390861522,2.975561058198565,1.9544234018104465,57.9
Harrison/Denny-Blaine,260,19580.849725768905,147,11579.854357486172,0.18443498341995143,0.3361787101448687,82.46877791109156,3.7084942662441107,2.1931542343723813,56.5
Minor,1091,76677.52376726193,589,46593.91683677873,0.1710810471208647,0.34586209707778426,70.44308368762955,14.522258289254152,8.824605461511123,54.0
Bryant,824,59170.16618513476,377,28916.13792688486,0.16679434544565214,0.33514120091834315,74.3445448731222,11.206470868396735,5.476541274031224,45.8
Portage Bay,235,15866.774931029448,105,7073.203413180661,0.1705028749708679,0.33500822850535955,101.89741798602726,3.0050710096646682,1.3396218585569435,44.7
Crown Hill,793,61495.190794888484,348,31175.6156485448,0.16326719536570536,0.352578802277472,54.29841676393324,11.64681643842585,5.904472660709243,43.9
South Park,1065,87976.32057693998,456,45605.03024718656,0.16018776654702113,0.3385323550151713,43.193607022479895,16.662181927450753,8.637316334694424,42.8
University Heights,645,44922.01217270482,256,20172.836074903127,0.16063582322180997,0.32855035606690697,70.914924702391,8.507956850891064,3.820612892974077,39.7
Bitter Lake,1088,105829.61065132602,374,56122.24355741548,0.1434050363426972,0.3357760568659648,52.55215934950917,20.043486865781443,10.629212794965053,34.4
Ballard,1221,88630.42790328726,415,31861.958554016852,0.15309145390188952,0.3390056225616467,55.68062827314345,16.7860658907741,6.034461847351676,34.0
Olympic Hills,911,76965.78395846066,295,36016.315245277554,0.1446107788658182,0.35427130794177614,69.99810004478363,14.57685302243573,6.821271826757113,32.4
Haller Lake,1452,117234.82514124535,465,53369.91079278019,0.14229355767606225,0.3375303090935878,72.15846221153835,22.203565367660104,10.107937650147763,32.0
East Queen Anne,1050,72480.10292077193,335,27282.416612354926,0.1511718818297396,0.3373712539689211,74.69637812327895,13.727292219843168,5.167124358400554,31.9
Broadway,1508,96733.30336960446,476,33038.94944349885,0.15061815328062872,0.34542169016146446,71.29744125021439,18.32070139575842,6.257376788541449,31.6
SODO,1624,139612.6046984565,495,64729.461391510544,0.14285268870429627,0.3429374054912844,8.10025447174008,26.44178119288949,12.259367687786089,30.5
Roxhill,735,56074.25266980774,218,21040.05143868445,0.14750005963554735,0.33699572123421645,72.71290697242856,10.620123611706012,3.98485822702357,29.7
Fremont,1842,126944.05231986142,525,43811.51872908428,0.14551285488997215,0.3413113878404791,65.9547096959639,24.042434151488905,8.297636122932628,28.5
Briarcliff,545,44122.54042008899,154,16077.098593422386,0.14790750177772333,0.4079162953804971,92.43210851012475,8.356541746228975,3.0449050366330277,28.3
North Delridge,761,62677.16652207284,213,21963.02624595839,0.14232512393425525,0.3403588525602428,48.95810518659481,11.87067547766531,4.159664061734544,28.0
Licton Springs,709,56694.48163690769,198,22501.477661186054,0.1406923070588277,0.34227361284264346,71.79674556906103,10.737591219111305,4.261643496436752,27.9
Eastlake,540,37394.363913244844,150,13578.398135084582,0.1404861915754544,0.24223930233188923,54.88291636449622,7.082265892660009,2.571666313462989,27.8
Riverview,798,69428.98390462714,221,26899.493150171143,0.139762677422705,0.3411209798809478,50.632249924433744,13.149428769815746,5.094600975411201,27.7
Stevens,1272,90326.27475986432,350,29860.475078787138,0.14385601083578084,0.33179390621021976,95.24750732785809,17.10724900755006,5.655393007346049,27.5
Columbia City,1607,111604.40957436856,442,36407.95914251226,0.14143393544442037,0.33836127983399894,46.95171620221242,21.13719878302435,6.89544680729399,27.5
Georgetown,1481,127824.10647472079,406,54484.142361384,0.1387876048843047,0.3475881120076054,24.1463519350403,24.209111074757725,10.318966356322727,27.4
Atlantic,774,56476.395655332286,208,18336.408639376852,0.14405847472658995,0.33065613887620177,58.41412188214711,10.696287055934144,3.472804666548646,26.9
Rainier Beach,1417,112937.53743071378,373,37474.78514877776,0.14205366871610872,0.334336036878759,28.20403845773849,21.389685119453368,7.097497187268515,26.3
South Delridge,754,57028.422923827355,196,20191.356928881974,0.1381310165775246,0.3351066640634712,68.63250271082869,10.800837674967301,3.824120630470071,26.0
Wedgwood,1176,91541.19080237711,304,34953.03758357787,0.1378945624896496,0.3314236646936608,79.91763008519226,17.337346742874452,6.619893481738233,25.9
Green Lake,1287,90879.10362584429,325,26553.085565944377,0.14287355098809426,0.33832215345614547,61.158637020989424,17.21195144428869,5.028993478398556,25.3
Fairmount Park,730,58376.998002824475,184,20276.349040830202,0.138996697843447,0.33890998837080644,49.32281776842614,11.05624962174706,3.8402176213693564,25.2
Pioneer Square,20,1639.4246490606583,5,405.8139657837079,0.1426262746545976,0.22362592616534394,14.73448180543308,0.3104970926251247,0.07685870564085377,25.0
Mount Baker,909,64314.82136917561,226,18962.066215299797,0.14019526484742698,0.34023920476561653,55.9139741550711,12.180837380525684,3.5913004195643556,24.9
University District,460,31887.56171901451,112,11313.173805475391,0.1355018099260201,0.3294496547573352,65.45355201134191,6.039310931631536,2.142646554067309,24.3
